A,B
fuimos un grupo de 5 personas y nos gustó mucho a todos tanto la comida como el servicio.,positivo
Queríamos comer en terraza y nos dijeron que cerraban en media hora.,negativo
"Por tanto tuvimos que cenar dentro, en un salón totalmente de desayuno de hotel, sin mucho encanto la verdad.",negativo
"La comida buena pero demasiado abundante, se debería retocar el menú.",neutral
La atención muy buena la verdad.,negativo
Es un sitio bonito en pleno centro de Madrid.,positivo
"El servicio muy bien, fueron eficientes y agradables, pero la comida , en nuestra opinión, bastante mejorable.",positivo
Nos tomamos el menú degustación y fue estupendo ...muy variado y de una calidad excelente.,positivo
El sitio muy agradable y el servicio excelente,positivo
"lamentablemente una decepción, el sitio es estupendo y donde se encuentra, pero por lo demás decepción, la comida pedimos el menú especial, el risoto marinado no cubre las expectativas de un risoto, uno de los platos de risoto lo pedimos sin queso y lo pusieron de nuevo teniendo queso en su elaboración y claro con sabor a queso, el pescado una lamentable elaboración, con el codillo igual, en definitiva una decepción.",negativo
"La comida buenísima, el trato excelente, y el sitio muy bien decorado.",positivo
Ambiente tranquilo.,positivo
La comida abundante.,neutral
"Excelente servicio, ambiente estupendo",positivo
Experiencia agradable.,positivo
Trato amable.,positivo
Comida muy rica.,positivo
Caro si se van sin la oferta.,negativo
"La comida fue bastante buena, con gran relación calidad-precio y un muy buen servicio, siempre atentos.",positivo
Comida riquísima Atención genial,positivo
"Comimos de carta con la oferta del descuento, que por cierto aplicaron sin tener que decirles nada, lo cual dice bastante en favor del restaurante.",neutral
La comida muy bien.,positivo
El servicio muy bien.,positivo
"Buena comida en general aunque algunos platos escasos, como los entrantes.",neutral
Servicio rápido a la hora de servir los platos.,positivo
Buen precio con el descuento.,positivo
Servicio rápido y comida muy rica.,positivo
La parte negativo es que los precios son elevados comparados con otros hindús.,negativo
La comida estaba muy rica .,positivo
El pan de queso más rico que he probado.,positivo
El sitio era pequeño agradable así como el personal que nos atendió.,positivo
Muy buena comida ya he ido varias veces.,positivo
Estupendo trato.,positivo
Hay que reservar con antelación porque sino puede haber problemas de sitio pero siempre un trato estupendo,positivo
"Restaurante tranquilo, buena comida y trato muy bueno.",positivo
Los entrantes no son nada del otro mundo pero los principales muy ricos.,neutral
El sitio agradable y los camareros muy atentos,positivo
Sitio agradable y comida muy buena,positivo
Servicio muy bueno y atento con buenos detalles entre platos.,positivo
Sin el descuento de Atrápalo es caro.,negativo
Buen servicio y ambiente.,positivo
Buena elaboración de los alimentos que tienen una gran calidad: por ello se paga lo que se paga.,positivo
"Buen ambiente y clima de complicidad y romanticismo gracias a las luces, velas y decoración del restaurante.",positivo
Cenamos con amigos y fue tranquilo y relajado.,positivo
Buena atención y buena comida.,positivo
Ambiente propicio para reencuentros.,positivo
es un sitio muy agradable,positivo
Un grupo de amigos de varios rincones de España reunidos despues de varios años sin vernos.,neutral
"El local esta muy bien, una mesa grande y espaciosa con ambiente reservado para nuestra reunion.",positivo
Comida deliciosa con productos de calidad .,positivo
"Cena con amigos, todo perfecto, comida muy buena y el servicio muy cercano y profesional",positivo
"Comida en pareja, trato correcto y amable.",positivo
Platos bien ejecutados y presentados.,positivo
Precio razonable.,positivo
Comida muy rica aunque los precios algo elevados,negativo
La carta me pareció cara.,negativo
Sin el descuento de Atrápalo imposible de asumir.,negativo
Los platos estaban ricos.,positivo
Sorprendido por la buena calidad y presentación de los platos.,positivo
Con el descuento del 30% nos una calidad/precio excelente.,positivo
"muy buen ambiente ,trato excelente,muy buena comida en cantidad y calidady cerca de bares para tomar una copa.",positivo
"Fui en pareja a cenar y el trato recibido desde el principio fue muy bueno, la comida estaba perfecta y en un ambiente tranquilo y agradable.",positivo
Con la oferta sale bien de precio.,positivo
"Sitio estupendo, yo lo conocía por el cocido pero el menú degustación fue una pasada y la relación calidad precio muy buena.",positivo
"El trato muy agradable, el servicio rápido y la cocina estupenda",positivo
Plato recomendado,positivo
"El suave tono de luz, las velas, las mesas bien vestidas y de buen tamaño logran un ambiente acogedor.",positivo
la amabilidad del servicio lo complementan.,positivo
Sólo una pequeña pega: las raciones de los platos quizá sean algo escasas.,neutral
"Muy agradable el sitio y la musica en vivo En general la comida bastante bien y una muy amplia carta de vinos, lo recomiendo",positivo
"Fuimos por San Valentín, nos encantó tanto la comida, como el ambiente; el restaurante estaba decorado con velitas y hubo jazz en directo al final de la cena",positivo
"Buena comida, servicio y ambiente.",positivo
Las bebidas algo caras.,negativo
"Menú degustación buenísimo, pero solo si vas con mucha hambre.",neutral
La parmegiana llena demasiado y comer el plato principal y el postre cuesta mucho.,neutral
La comida muy buena.,positivo
Pedí aconsejada por el camarero unos papardelle con butifarra buenísimos.,positivo
"A pesar, de ser un plato contudente los sabores eran muy equilibrados.",neutral
No es íntimo ni romántico pero es ideal para sorprender para sorprender a tu pareja con una comida buenísima o ir con amigos,positivo
"Comida genial, muy buen sabor y cantidad en los platos.",positivo
El trato aún mejor.,positivo
La comida muy buena.,positivo
La tarta de queso buenísima y el tiranmisu también.,positivo
El trato muy bueno.,positivo
Se come muy bien.,positivo
"Comida en familia en fechas de mucha afluencia a la ciudad, restaurante lleno y gente que no paraba de entrar buscando mesa libre.",neutral
"El personal fue muy eficiente en la organización, amable pese a la presión y comida muy buena.",positivo
Fuimos mi pareja y yo y salimos encantados.,positivo
"El restaurante es pequeño pero muy bonito, y la comida nos pareció espectacular, desde los entrantes hasta el postre, ¡qué tarta de queso, madre mía!",positivo
Además con el descuento de Atrápalo la relación calidad-precio es muy buena.,positivo
Nos gustó mucho la comida y la zona donde cenamos era tranquila.,positivo
Muy bien trato del servicio y todo correcto.,positivo
Pelin caros los entrantes sobretodo.,negativo
Comida buenísima,positivo
el servicio excelente.,positivo
Y la comida muy rica.,positivo
"Los platos son caros, pero con la oferta de atrapalo, el precio es más que aceptable",neutral
"El servicio muy lento, estuvimos esperando más de 20 minutos a que nos sirvieran el postre.",negativo
Caro si no vas con alguna promoción.,negativo
Hemos ido muchas veces y cada vez probamos algo nuevo... Nunca dejan de sorprendernos... Esta vez tocaron cangrejos de concha blanda y carrillera.... Todo estupendo!!,positivo
Muy lleno y algo desbordados los camareros.,negativo
Exceso de salsa con los platos de carne.,neutral
Muy bueno el postre casero de coco,positivo
La comida estaba buenísima,positivo
"Nos esperábamos comida más sabrosa, al menos era lo que recordábamos de nuestra anterior visita.",neutral
"La sopa Tom Yan era bastante insípida, y los langostinos sin carácter.",neutral
El pad thai sí estaba sabroso.,positivo
La comida estaba muy buena y nos gustó todo lo que probamos.,positivo
"Es la segunda vez que como en un Tailandés, no conozco mucho la gastronomía pero la verdad es que todo me gustó.",positivo
Los entrantes magníficos.,positivo
Es la tercera o cuarta vez que voy y como siempre la comida muy buena y abundante.,positivo
Creo que los peores sitios de mesas los dejan para las reservas con oferta!,negativo
El servicio algo lento porque tardaron mucho en servir en general.,negativo
cantidad de comida abundante.,neutral
La comida es estupenda.,positivo
Como punto negativo el que tardan mucho en servir los platos y un poco caros los postres y la bebida.,negativo
El descuento que hacen en la cuenta es del 40%,neutral
El sabor es el mismo que la comida que degustamos en Tailandia.,neutral
"El cangrejo de cáscara blanda riquísimo y el entrecot también y las sopas buenísimas si te gusta la comida especiada, aunque puede ser a la vez poco picante.",positivo
Me encanta comer en el horno de Juan Muy buena comida.,positivo
estupendos asados y el servicio es muy bueno.,positivo
Totalmente recomendable,positivo
Muy bien todo buenísimo y con el menú que teníamos calidad precio excepcional.,positivo
Cochinillo exquisito,positivo
Un restaurante de buena calidad.,positivo
Servicio lento y con caras largas.,negativo
En el menú para compartir (entrantes) bastante mediocre además ponen la misma cantidad para dos que para cuatro.,negativo
Del plato principal el cochinillo en su punto de asado bien pero la ración mínima y resto de los platos muy vulgares.,neutral
El pastel de cabracho fatal.,negativo
"He ido varias veces pero creo que ya no volveré, no es ninguna broma cobrar por un menú 30 euros y ser vulgar.",negativo
La comida estupenda.,positivo
Muy rica la sopa de ajo y el cordero al horno.,positivo
"Fue una velada muy bonita, agradable, alegre y sin pensarlo el rato de la cena nos duro 3:30, no hizo falta nada.",positivo
"El servicio y la actuación, inmejorable.",positivo
La carta un poco cara,neutral
Camareros que aparte de servirte te hacen un espectáculo único.,positivo
Muy recomendable si te puedes permitir el precio.,neutral
Espectaculo que merece la pena al igual que la comida...pero no asi el servicio...1 hora de espera para empezar a comer....,negativo
La cena muy buena y como estábamos en vísperas del carnaval terminamos todos cantando.,positivo
Super atentos y muy buen.,positivo
Extraordinaria interpretación de ópera a escasos metros de tu mesa mientras disfrutas de platos elaborados con esmero.,positivo
Los cantantes cantan muy bien y animan muchísimo la velada.,positivo
"La comida estaba muy buena, pero lo mejor sin duda fueron los momentos en la que los miembros de la Castafiore cantaban.",positivo
Sitio incómodo e impersonal .,negativo
"Raciones escasas, verduras plancha 1 ración, 1/2ración de pulpo.",neutral
Había estado en verano y me gustó la terraza el interior también está muy bien.,positivo
Por lo demás a pesar de llegar a última hora de cocina la atención muy buena y la comida igual o mejor,positivo
"La comida riquísima,como siempre.",positivo
La cantidad abundante.,neutral
Y el trato personal fantástico.,positivo
Quizá por desconocimiento la comida me resultó copiosa pero bien la calidad precio,neutral
Fantástico marco y atención insuperable,positivo
Las raciones abundantes y la comida muy rica.,positivo
Los camareros muy amables y atentos.,positivo
"Sin duda lo recomiendo y con el descuento de Atrápalo, el precio queda bastante bien.",positivo
Sitio espectacular servicio muy bueno tranquilo y agradable,positivo
Plato recomendado,positivo
El servicio muy malo!,negativo
Poco amables y con malas caras.,negativo
"La comida muy poca cantidad, poco hecha y con mucha grasa.",negativo
Y el pan y bebida 1 estafa,negativo
"Pagas el sitio, pero la comida bastante cara para lo que es…",negativo
Se puede mejorar un poco el menú.,neutral
Ambiente y atenciones muy bien.,positivo
Deja que desear el menú para lo que ofrecen.,negativo
Y la atención muy muy normal.,neutral
"En la recepción nos dijeron que era la última mesa quedaba, pero luego vimos había varias libres",neutral
La atención del personal y la decoración perfecta.,positivo
Y comer con esas vistas al campo de fútbol,positivo
La comida muy básica,neutral
"El lugar es especial,pero la calidad y la atención deja un poco que desear.",negativo
"Esta bien y el servicio es muy amable , la comida buena pero por el precio un poco escasa",positivo
Tranquilo y agradable.,positivo
"Buen servicio, atentos, amables.",positivo
Comida muy buena y bien cocinada.,positivo
"Buen sitio, servicio, calidad y precio.",positivo
La relación calidad precio es muy buena.,positivo
Buena cocina y gran calidad de materias primas.,positivo
Platos estupendos y productos muy frescos.,positivo
Nos atendieron muy bien.,positivo
"Notable alto,servicio rápido y amable,comida buena y abundante, invitación a chupetes muy amable.",positivo
El sitio agradable y tranquilo.,positivo
La comida bastante normal relacion calidad precio.,neutral
El trato fue muy bueno.,positivo
todo lo que comimos estaba riquísimo.,positivo
es cierto que el precio es muy bueno por la promoción de atrápalo.,positivo
Comida excelente,positivo
"Comí a la carta,muy bien pero un poco caro",negativo
Raciones generosas.,neutral
El salpicon de cine y la merluza muy fresca.,positivo
Postres gallegos también buenos.,positivo
Cena tranquila y con música ambiental.,neutral
Servicio correcto.,neutral
Lo pasamos muy bien y la comida estuvo fenomenal,positivo
La verdad es que quedamos ambos muy satisfechos por el ambiente y la decoración.,positivo
Los platos respondían a las expectativas y el trato fue correcto.,positivo
"Qué más puedo decir...sobra amabilidad, educación y buen trato por parte de TODO el personal de La Lanzada.",positivo
"La comida estuvo exquisita, y el tamaño de los platos es ideal.",positivo
Me alegro mucho de haber ido y lo recomiendo al 100%,positivo
Me encantan sus nachos con queso,positivo
El sitio tiene una decoración estupenda y es precioso.,positivo
"Aún así el sitio merece la pena y el servicio, sin ser de 10, no es malo",negativo
"La comida excelente, el ambiente igual.",positivo
Recomiendo el guacamole y las quesadillas norteñas.,positivo
"Comida muy variada y muy buena, margaritas excelentes y el personal muy amable.",positivo
Comida muy rica.,positivo
Los camareros atienden rápido y bien.,positivo
"Como siempre muy buena comida, ambiente y servicio.",positivo
Comida riquísima y abundante.,positivo
Calidad precio genial.,positivo
No tienes que esperar mucho a que te sirvan y el trato es muy bueno.,positivo
"Nos dejamos aconsejar y de lujo, muy rico, excelente comida mexicana con estilo, local agradable y buen servicio.",positivo
También un precio bueno.,positivo
"Nos gustó mucho,buena comida y buen precio",positivo
Comida increíble a precios normales!,positivo
El local está céntrico los camareros muy majos .,positivo
Pero poca variedad de comida comparando a otros mexicanos y muy caro.,negativo
Trato muy amable y auténtica comida mexicana,positivo
Por otro lado muy caro para las raciones tan pequeñas.,negativo
Cena en pareja degustando una comida muy rica bien elaborada y presentada.,positivo
Muy buena relación calidad/precio en el caso de la oferta degustación.,positivo
La comida está muy buena.,positivo
La cerveza mexicana muy cara,negativo
"Sitio con encanto, un lugar diferente para disfrutar de una buena velada.",positivo
"Un sitio precioso, ideal para ir en pareja y la comida está muy rica.",positivo
"El camarero muy profesional, sabiendo aconsejar!!!",positivo
El vagón para «parejitas» se convierte en claustrofóbico y poco íntimo cuando está lleno.,negativo
Camareros muy amables.,positivo
"comida riquísima, excelente servicio de trato amable, al detalle.",positivo
ambiente entrañable con música romántica bajita idea para charlar con alguien especial e ir en pareja.,positivo
"Nos gusto, la escenificación, parecía que estabas en una estación antigua de tren.",positivo
"La comida deliciosa, el trato exquisito, el camarero, pendiente y explicando cada plato, cuando te lo servía, atento, pero sin agoviar.",positivo
Nos encantó todo muy limpio y muy rico todo.,positivo
La comida excelente!,positivo
El lugar es pintoresco y se come fenomenal.,positivo
"Sitio romántico, tranquilo , con encanto .",positivo
"Comida buena , local acogedor.",positivo
Muy romántico.,neutral
La atención estupenda y la comida inigualable,positivo
Fui con mi mujer y para ir en pareja es perfecto por el entorno y el ambiente.,positivo
"La comida,correcta.",positivo
"Muy buen restaurante, gran servicio y muy buena comida.",positivo
"Quiza un poco ruidoso por las conversaciones, segun se fue llenando.",negativo
"El local y la decoracion me han gustado muchisimo, asi como la amabilidad de los camareros y su servicio.",positivo
"La comida está muy rica, platos originales y elaborados.",positivo
"pasamos un rato divertido, la comida nos sorprendió porque estaba muy rica.",positivo
"El sitio muy tranquilo, como de casa.",positivo
"La comida espectacular, con unas raciones muy abundantes y muy bien cuidadas.",positivo
"El personal impresionante, muy atentos y dispuestos.",positivo
Repetiremos y lo hemos recomendado.,positivo
"Como siempre, y ya van varias, excelente comida y trato muy agradable.",positivo
Los empleados muy atentos,positivo
comida excelente y muy amables,positivo
"comimos un menú muy rico, el arroz me gustó mucho.",positivo
"Es la segunda vez que vamos y en esta ocasión pedimos el menú del chuletón, quedamos completamente satisfechos, la carne era de muy buena calidad y estaba cocinada al punto exacto que le pedí, el vino muy bueno y la entrada también exquisita.",positivo
"Acorde calidad precio, menos en el postre del menu.",neutral
Lástima de tarta demasiado industrial.,neutral
El servicio muy atento.,positivo
"Sitio bonito, tranquilo, comida sencilla pero bien elaborada, ¡exquisita!",positivo
Una comida muy relajada en un ambiente acojedor,positivo
"fui con mi pareja a comer, y la verdad, es que nos gustó bastante, los camareros muy agradables y el servicio en general bien",positivo
ambiente tranquilo y acogedor.,positivo
"Servicio rápido y atento y la comida en su punto tanto la carne o el arroz, por ejemplo.",positivo
La carne estaba como chicle y la comida no nos gustó especialmente.,negativo
buen lugar comida rica pescado mejor que carne camareros profesionales estuvimos muy bien,positivo
"Comida de calidad, pedimos el menú regalo, que incluía arroz y botella de vino.",positivo
"Muy buen trato del personal, y ambiente agradable.",positivo
"fuimos rápidamente atendidos, el restaurante aparece limpio, y buena temperatura, la comida variada y bien, suficiente de cantidad",positivo
Cogimos el menú de atrapalo y estuvo genial.,positivo
La comida muy buena,positivo
Estuvimos cenando tranquilos con buena atención y servicio.,positivo
"La comida buena y de calidad,el vino elegido fue lo que no cumplió nuestras expectativas.",neutral
"Fue muy agradable, la comida y los cantantes sensacionales, con pedida de mano incluida de otros comensales",positivo
"Fue muy buena, todo estaba perfectamente coordinado y presentado, un ambiente especial y una gran experiencia.",positivo
"Lugar elegante, magníficos cantantes, servicio esmerado y comida exquisita a un precio muy razonable",positivo
Cena muy agradable disfrutando de buenas voces y una bonita selección de piezas tanto de opera como zarzuela.,positivo
El lugar muy cuidado y acogedor con un trato muy delicado al cliente.,positivo
"Buena cena y cantantes excepcionales, el espectáculo es muy ameno gran variedad de canciones.",positivo
La comida está bien aunque había algunos fallos como el helado con cristalitos de hielo.,neutral
La edad de los comensales parece estar por encima de los 40.,neutral
Cuando se juntan cena y espectaculo siempre hay algo que cojea pero no es este el caso.,neutral
"Amabilidad, excelente servicio, rapidez y muy buenos platos unido a unos grandes profesionales que deleitan la cena con sus voces y canciones.",positivo
"Es muy agradable el ambiente, la comida buena y los cantantes de muy alto nivel",positivo
Lo unico negativo es que tardan mucho entre plato y plato.,negativo
"Nos ha sorprendido la cena, platos elaborados y muy ricos.",positivo
La decoración muy chula.,positivo
La comida realmente buena y los artistas crean un ambiente maravilloso.,positivo
Comida exquisita.,positivo
Servicio muy bueno.,positivo
Espectáculo genial,positivo
Bonito restaurante con carta amplia.,positivo
"Todo muy rico y cuidado en detalles, se disfruta.",positivo
Las copas y postres decorados,neutral
La comida de gran calidad siempre todo muy bueno y el servicio muy agradable.,positivo
Buena comida y buen servicio,positivo
Familiar y acogedor,positivo
"Restaurante recomendable, comida fenomenal y servicio excelente",positivo
"Lo recomiendo y volveremos otra vez, puesto que la comida estaba muy buena.",positivo
Un pelín alto el precio la verdad,negativo
Fatal el tiempo de espera...nefasto,negativo
La comida es excelente y los camareros son agradables.,positivo
"Cuidada decoración, carta muy original.",positivo
"Buen ambiente, menú variado y todo exquisito.",positivo
"A pesar de que no tenían la reserva hecha, nos indicaron que no habia problema y nos sentaron en una buena mesa.",positivo
"Pedimos el Menú de 19 euros muy completo, los primeros normalitos, la carne y las minihamburguesas estaban muy ricas.",positivo
"Trato amable, y ambiente informal",positivo
Buena comida a un precio razonable y sobre todo un excelente servicio.,positivo
Comimos bien yen cantidad razonable!,positivo
Reservamos este sitio para comer cerca del wizink center después de un partido de ballet y aunque llegamos más tarde nos esperaron y nos sirvieron correctamente y con agrado,positivo
Comida muy rica.,positivo
Buen ambiente.,positivo
Bien de precio.,positivo
Atención muy buena.,positivo
Rapidez y buen servicio.,positivo
Muy amables.,positivo
Acogedor y bien decorado.,positivo
Ambiente tranquilo y familiar,positivo
"La atención por parte del servicio fue muy buena,",positivo
"Si, queréis un sitio tranquilo y íntimo venir aquí",positivo
"No nos gustó la comida, la servían fría, las costillas muy secas y sin salsa (sólo ketchup y mostaza).",negativo
"Lo mejor, el arroz al horno.",positivo
En el menú había varias opciones de postre pero en el restaurante no nos dieron a elegir.,negativo
ambiente y atención buena.,positivo
la comida bien y el sitio en general merece la pena.,positivo
Buena cena contundente para 2 pero con algo de demora en el servicio.,negativo
El servicio de las camareras bueno y lo mejor el postre.,positivo
"Los camareros muy atentos, quizá demasiado pero los sabores eran bastante buenos",positivo
Lugar tranquilo en un ambiente agradable donde se puede comer bien.,positivo
"Es un sitio para ir con frecuencia pues tiene variedad de cervezas, de platos, de sugerencias, etc",positivo
"La comida muy bien, salimos bastante llenos aunque por calidad me parece un poco excesivo el precio.",negativo
"El restaurante muy bien, muy bonito pero el trato tampoco fue muy de mi agrado.",negativo
Fuimos los últimos en salir y los camareros estaban más pendientes de cerrar e irse que de cobrarnos,negativo
Excelente relación calidad-precio.,positivo
"la comida muy rica, y muhca cantidad el menú, esta muy bien.",positivo
"el aperitivo del principio es un detallazo , y está requísimo (el chorizo picante)",positivo
"Todo un 10 ,el personal ,el ambiente,el servicio y la amabilidad.",positivo
Al no beber alcohol nos cambiaron el vino por refresco y cervezas.,positivo
Si eres capaz de comerte todo lo que ponen es porque eres un comilón.,neutral
"Un lugar para con una comida estupenda, personal y gerencia muy atentos y amables en todo momento, un ambiente distendido y muy agradable.",positivo
Restaurante con una buena relación calidad/precio.,positivo
Cenamos el menú de atrápalo que consta de raciones abundantes con una calidad y un servicio correctos.,neutral
"La bebida está incluida, pedimos vino blanco y nos lo sacaron con una cubitera que siempre se agradece.",positivo
"Buen ambiente, cantidad de comida excelente",positivo
"La comida de buena calidad, amabilidad en el servicio, repetiremos seguro",positivo
Me gusto el trato.,positivo
El local está muy bien y la comida fenomenal.,positivo
"El servicio es verdad que fue lento,tardaban mucho entre plato y plato,se veía que estaban desbordados.",negativo
"Camareros atentos, muy buena calidad en sus productos.",positivo
"Servicio muy bueno, comida de menú muy buena, mucha cantidad y el vino muy bueno",positivo
Muy recomendable.,positivo
Platos contundentes de cocina tradicional y de calidad.,positivo
Buen servicio y buen ambiente porque es espacioso y tranquilo,positivo
Calidad precio normal.,neutral
Servicio normalito tirando a malo.,negativo
No hay un ambiente precisamente bueno.,negativo
Todo muy viejo.,negativo
Difícil de encontrar.,negativo
El servicio fue atento y rápido.,positivo
Muy bueno el menù de degustación.,positivo
Trato muy amable.,positivo
"Sin embargo, el menú nos sorprendió para bien tanto por su calidad como por su cantidad",positivo
La comida estupenda.,positivo
El servicio también.,neutral
"Tranquilo y agradable, con comida sugerente.",positivo
Un trato y servicio exquisito.,positivo
Comida muy elaborada y totalmente recomendable.,positivo
Menú amplio y de calidad.,positivo
"Encontramos justo lo que buscábamos, un lugar tranquilo y con buena atención en el servicio, para una cena romántica.",positivo
Igual que en otras ocasiones la comida estaba muy buena.,positivo
"Gran ambiente, iluminación y música adecuada y exquisita comida.",positivo
"Tartán delicioso, un sushi espectacular y unos langostinos en tempura crujiente y sabroso.",positivo
Aprovechamos la semana de la comida japonesa para ir a 99 Sushi a un precio que no tiene nada que ver con lo que pagamos habitualmente cuando visitamos este restaurante.,neutral
Como el precio era mucho más bajo no esperábamos demasiado.,neutral
"Abundante, rico y barato.",positivo
"Menú estupendo, muy completo y cuidado.",positivo
Menú de japonés week muy bueno.,positivo
Atención correcta como siempre.,positivo
Menú en la semana promocional.,neutral
Misma calidad a un muy buen precio,positivo
"Buena ambientación, la camarera atentísima y servicial.",positivo
"La comida y los postres, estupendos.",positivo
"Un trato exquisito, un espacio precioso y un precio muy bueno. ",positivo
"El personal correctísimo, aunque el salón era contíuo, es decir, sofás corrido, separado por cojines y mesas bajas, se comía cómodo y no oías al de al lado, porque el tono de voz era básicamente bajo.",neutral
"Servicio muy atento, rapido. ",positivo
"Comida excelente , en especial la Pastella Farci.",positivo
"La comida nos encantó, lo único es que deberían avisar que los platos son generosos sobre todo para una cena.",neutral
Una pena que se nos quedara un plato casi sin tocar.,neutral
No es económico pero con la oferta del 30% se hace más llevadero.,neutral
"Nada más sentarnos y pedir el menú de degustación, el maitre en lugar de solicitar que si queríamos algo de tomar, antes de que nos sirvieran la comida, nos indica que No hay Descuento en le menú, cosa que nos parece una falta de cortesía cuando ya se había hablado y quedado claro por teléfono.",negativo
Ambiente falta un algo que realmente te transporte a la decoración tan conseguida que tiene el local.,negativo
La decoración del restaurante es espectacular y la comida es buenísima.,positivo
"Todo lo que tomamos estaba perfecto, el tajin de pollo, el cous cous de Cordero, los entrantes variados.",positivo
Carta de vinos muy extensa.,neutral
El espectáculo está genial y hace que el ambiente sea aún más acogedor.,positivo
El sitio muy chulo y nos encantó.,positivo
"Ambiente agradable, la comida estaba muy buena y el servicio impecable, en todo momento estaban atentos a nosotros.",positivo
Platos bien elaborados y servidos q con el descuento merecen la pena,positivo
La comida tenía una buena calidad.,positivo
El trato del personal fue de sobresaliente.,positivo
Muy atentos también con mis hijos.,positivo
La comida buena y con platos originales.,positivo
Ambiente tranquilo y limpio.,positivo
"El ambiente era muy agradable pero la combinación de sabores en los platos no era la adecuada, algunos elementos enmascarando otros componentes de los platos.",negativo
Buena comida.,positivo
"Restaurante dentro del hotel, muy limpio, silencioso y buen servicio.",positivo
La comida estaba muy rica.,positivo
"Con este descuento te hacen un 40% sobre todos los platos, con lo que se nota mucho en la cuenta a pagar.",positivo
"Los platos son de alta calidad, y muy bien servido.",positivo
La primera comida del año y para recoradar,positivo
"El solomillo buenísimo, el tataki bien.",positivo
"Un postre no nos gustó y no nos lo cobraron, un detalle.",positivo
El postre de limón podría estar mejor para mi gusto.,neutral
El ambiente es agradable con originales vistas de Goya.,positivo
"Muy buena ubicación, buena atención",positivo
Plato recomendado,positivo
"Buen precio gracias al descuento del 50%, sino es un poco caro.",neutral
Muy buen servicio.,positivo
"Fuimos por una celebración personal y nos sorprendió el diseño del lugar, muy original.",positivo
Y la comida muy abundante y muy buena.,positivo
Bonito restaurante con un ambiente agradable y una comida genial,positivo
"Tomamos el menú degustación, tiene gran variedad y calidad.",positivo
Totalmente recomendable.,positivo
"Todo buenísimo, nos aconsejaron en todo momento, y no pudimos con toda la comida, nos lo pusieron para llevar a casa sin ningún problema, el pato laqueado exquisito!",positivo
Buena variedad de comida y muy buena calidad.,positivo
El servicio excelente.,positivo
Buen trato y comida de calidad.,positivo
Calidad comida atención y sitio,positivo
Poca calidad en la comida.,negativo
Cogimos menu Ninsei y solo me gustaron los platos principales.,neutral
Recomendable!!,positivo
"Por ese precio está muy bien, las raciones están bien.",positivo
Como eramos 6 probamos casi todos los platos y todos estaban ricos.,positivo
"La comida buenísima y muy bien preparada, nada que ver con otros en los que hemos estado.",positivo
Los camareros muy atentos y serviciales.,positivo
"Atención del personal magnífica, comida muy buena y ambiente agradable.",positivo
A quien le guste la comida asiática que lo pruebe.,neutral
"No sé sale de lo común en restaurantes japoneses, fui con una promoción de la Japan Restaurant Week y por ese lado estoy contenta, porque por un buen precio comimos abundante y bien, aunque no hubo ningún plato que nos sorprendiese especialmente",neutral
Elegí este restaurante a través de una oferta de Atrapalo y resultó fenomenal calidad y servicio muy buenos,positivo
"Restaurante muy recomendable tanto para ir en pareja, familia o amigos.",positivo
"El servicio es muy bueno, nos encantó!!",positivo
Acogedor restaurante japonés,positivo
"A todos los efectos, recomebdable",positivo
EL ambiente es perfecto con poco ruido.,positivo
El servicio encantador y muy amable La comida está rica aunque en otras ocasiones la he encontrado mejor,positivo
"Buena, no había estado nunca en un restaurante japonés, la comida buena y abundante para ser un menú.",positivo
"El servicio agradable, nos regalaron unos palillos para practicar.",positivo
"Fuimos mi marido y yo con nuestros hijos pequeños, nos trataron de maravilla y la comida nos gustó bastante.",positivo
"Al ser tres comensales, pedimos todos los platos diferentes y nos sorprendió tanto el sabor como la cantidad.",positivo
Salimos contentos la verdad.,positivo
Lugar muy agradable donde compartir con los amigos,positivo
Cena muy agradable y atención fantástica,positivo
Muy buena materia prima y preparación con gran combinación de sabores.,positivo
Buenos vinos y variedad.,positivo
Trato excelente.,positivo
"El trato de los camareros es excelente, siempre atentos, muy rápidos.",positivo
El servicio directo.,neutral
En otras Ocasiones todo bien pero Esta vez tardaban muchos servir Pero mucho tiempo,negativo
"La sensación global fue muy positiva: buen servicio, rápido, atento.",positivo
"Comida muy buena, en una cantidad adecuada (cosa que nos sorprendió, porque ese tipo de platos, con demasiada frecuencia, son escasos en cantidad).",positivo
No lo conocíamos y nunca habíamos probado la comida tailandesa.,neutral
Local acogedor.,positivo
"la comida muy rica , casera",positivo
Totalmente recomendable.,positivo
Recibimiento de lo más amable y cordial!!,positivo
Hay que destacar el buen trato de los camareros y rapidez en el servicio.,positivo
Es un sitio para volver y recomendar.,positivo
Todo lo q pedimos bien servido y a su debido tiempo,positivo
Estupendo menú tentaciones.,positivo
Y con un servicio estupendo y atento.,positivo
Cocina tradicional pero de buen producto.,neutral
"Calidad-precio, muy bien¡¡¡ El local es acogedor, la comida bien¡¡¡¡ y el personal muy atento.",positivo
"Muy buen ambiente, personal muy amable y profesional.",positivo
El sitio es muy acogedor.,positivo
Servicio excepcional.,positivo
Muy recomendable para celebrar cualquier evento.,positivo
"La comida muy rica, los empleados muy amables.",positivo
"Todo exquisito excepto el pulpo que estaba un poco quemado, pero muy tierno.",neutral
Entre los camareros hay de todo.,neutral
agradable a excepción de la climatización de la sala que no llegaba bien a todos los puntos,neutral
