A	B
tranquilo ambiente agradable comer	positivo
sitio frecuencia variedad cervezas platos sugerencias etc	positivo
comida salimos llenos calidad excesivo precio	negativo
salir camareros pendientes cerrar irse cobrarnos	negativo
excelente relacion calidadprecio	positivo
comida rica muhca cantidad menu	positivo
aperitivo principio detallazo  requisimo chorizo picante	positivo
personal ambienteel servicio amabilidad	positivo
beber alcohol cambiaron vino refresco cervezas	positivo
comida estupenda personal gerencia atentos amables ambiente distendido agradable	positivo
restaurante relacion calidadprecio	positivo
cenamos menu atrapalo consta raciones abundantes calidad servicio correctos	neutral
bebida incluida pedimos vino blanco sacaron cubitera agradece	positivo
ambiente cantidad comida excelente	positivo
comida calidad amabilidad servicio repetiremos seguro	positivo
gusto trato	positivo
local comida fenomenal	positivo
servicio lentotardaban plato platose veia desbordados	negativo
camareros atentos calidad productos	positivo
servicio comida menu cantidad vino	positivo
recomendable	positivo
platos contundentes cocina tradicional calidad	positivo
calidad precio normal	neutral
servicio normalito tirando malo	negativo
ambiente precisamente	negativo
viejo	negativo
dificil encontrar	negativo
servicio atento rapido	positivo
menu degustacion	positivo
trato amable	positivo
comida estupenda	positivo
tranquilo agradable comida sugerente	positivo
trato servicio exquisito	positivo
comida elaborada totalmente recomendable	positivo
menu amplio calidad	positivo
encontramos justo buscabamos tranquilo atencion servicio cena romantica	positivo
ocasiones comida	positivo
ambiente iluminacion musica adecuada exquisita comida	positivo
tartan delicioso sushi espectacular langostinos tempura crujiente sabroso	positivo
aprovechamos semana comida japonesa    sushi precio pagamos habitualmente visitamos restaurante	neutral
precio esperabamos	neutral
abundante rico barato	positivo
menu estupendo completo cuidado	positivo
menu japones week	positivo
atencion correcta	positivo
menu semana promocional	neutral
calidad precio	positivo
ambientacion camarera atentisima servicial	positivo
comida postres estupendos	positivo
trato exquisito espacio precioso precio	positivo
servicio atento rapido	positivo
comida excelente  especial pastella farci	positivo
comida encanto unico deberian avisar platos generosos cena	neutral
pena quedara plato tocar	neutral
economico oferta    llevadero	neutral
sentarnos pedir menu degustacion maitre solicitar queriamos tomar sirvieran comida indica descuento menu cosa falta cortesia hablado quedado telefono	negativo
ambiente falta realmente transporte decoracion conseguida local	negativo
decoracion restaurante espectacular comida buenisima	positivo
tomamos perfecto tajin pollo cous cous cordero entrantes variados	positivo
carta vinos extensa	neutral
espectaculo genial ambiente acogedor	positivo
sitio chulo encanto	positivo
ambiente agradable comida servicio impecable atentos a	positivo
platos elaborados servidos descuento merecen pena	positivo
trato personal sobresaliente	positivo
atentos hijos	positivo
comida platos originales	positivo
ambiente tranquilo limpio	positivo
ambiente agradable combinacion sabores platos adecuada elementos enmascarando componentes platos	negativa
comida	positiva
restaurante hotel limpio silencioso servicio	positivo
comida rica	positivo
descuento    platos nota pagar	positivo
platos alta calidad servido	positivo
comida ano recoradar	positivo
solomillo buenisimo tataki	positivo
postre gusto cobraron detalle	positivo
postre limon gusto	neutral
ambiente agradable originales vistas goya	positivo
ubicacion atencion	positivo
plato recomendado	positivo
precio gracias descuento    caro	neutral
servicio	positivo
celebracion personal sorprendio diseno original	positivo
comida abundante	positivo
bonito restaurante ambiente agradable comida genial	positivo
tomamos menu degustacion variedad calidad	positivo
buenisimo aconsejaron pudimos comida pusieron casa problema pato laqueado exquisito	positivo
variedad comida calidad	positivo
servicio excelente	positivo
trato comida calidad	positivo
calidad comida atencion sitio	positiva
cogimos menu ninsei gustaron platos principales	neutral
recomendable	positivo
precio raciones	positivo
probamos platos ricos	positivo
comida buenisima preparada	positivo
camareros atentos serviciales	positivo
atencion personal magnifica comida ambiente agradable	positivo
guste comida asiatica pruebe	neutral
sale comun restaurantes japoneses promocion japan restaurant week contenta precio comimos abundante plato sorprendiese especialmente	neutral
restaurante recomendable pareja familia amigos	positivo
servicio encanto	positivo
acogedor restaurante japones	positivo
efectos recomebdable	positivo
ambiente perfecto ruido	positivo
servicio encantador amable comida rica ocasiones encontrado	positivo
restaurante japones comida abundante menu	positivo
servicio agradable regalaron palillos practicar	positivo
marido hijos pequenos trataron maravilla comida gusto	positivo
comensales pedimos platos sorprendio sabor cantidad	positivo
salimos contentos	positivo
cena agradable atencion fantastica	positivo
materia prima preparacion combinacion sabores	positivo
vinos variedad	positiva
trato excelente	positivo
trato camareros excelente atentos rapidos	positivo
servicio directo	neutral
ocasiones tardaban servir	negativo
sensacion global positiva servicio rapido atento	positivo
comida cantidad adecuada cosa sorprendio tipo platos demasiada frecuencia escasos cantidad	positivo
conociamos probado comida tailandesa	neutral
local acogedor	positivo
comida rica  casera	positivo
totalmente recomendable	positivo
recibimiento amable cordial	positivo
destacar trato camareros rapidez servicio	positivo
sitio volver recomendar	positivo
pedimos servido	positivo
estupendo menu tentaciones	positivo
servicio estupendo atento	positivo
cocina tradicional producto	neutral
calidadprecio local acogedor comida personal atento	positivo
ambiente personal amable profesional	positivo
sitio acogedor	positivo
servicio excepcional	positivo
recomendable celebrar evento	positivo
comida rica empleados amables	positivo
exquisito pulpo quemado tierno	neutral
camareros	neutral
agradable excepcion climatizacion sala llegaba puntos	neutral
cena pareja acogida cordial trato cena	positivo
platos precio razonable	positivo
comida calidad cocinada	positivo
cenamos fenomenal tranquilos ambiente reservado discreto	positivo
camareros superagradables	positivo
precio fenomenal	positivo
pimientos piquillo rellenos rabo buey exquisitos	positivo
trato estupendo recomendaron proxima pidamos cocido maragato comimos	positivo
beneficiamos promocion    descuento esperamos repetir	positivo
cogimos oferta cocido salimos contentos	positivo
sitio amplio comodo temperatura genial degustacion postres riquisima	positivo
aprovechamos oferta    descuento carta	neutral
trato amable aconsejaron	positivo
positiva ambiente agradable	positivo
personal amable	positivo
comida estupenda sabrosa preparada	positivo
barullo espanoles solemos hablar alto	neutral
comimos pulpo gallega lubina solomillo parrilla	positivo
atencion servicio	positivo
trato personal atentos agradables calidos tardaron servirnos platos postre	positivo
defraudo comida pedimos compartir platos pequenos caros cantidad	negativo
presentacion apetecibles calidad sabor defraudados	neutral
comida unico gusto nota postre	neutral
parecio caro	negativo
menu escaso platos espectaculares	positivo
sitio trato estupendos	positivo
postres especialmente helado violeta	positivo
hamburguesa pequena sabrosa escueta patatas congeladas	neutral
carne kobe buenisima resto	positivo
oferta    carta	neutral
cena menu    euros completa calidad artistas	positivo
gusto artistas pusieron alma corazon transmite a	positivo
atencion excelente ambiente acogedor agradable musica	positivo
artistas buenisimos	positivo
sitio pequeno acogedor	neutral
sentados metro artistas daban derroche energia pura talento arte increible	positivo
pastas ricas espctaculo gusto	positivo
distancia tablao minima puedes apreciar espectaculo artistas	positivo
totalmente recomendable	positivo
pareja encanto	positivo
flamenco calidad artistazos ambiente muy acogedor	positivo
justo escenario disfrutamos	positivo
comida cantidad	positivo
local pequeno perfecto crear ambiente	positivo
cena abundante calidad	positivo
servicio correr cenar	positivo
geniales artistas servicio duracion espectaculo cena experiencia totalmente recomendable	positivo
servicio atento amable	positivo
bar montado comida calidad precio razonable oferta atrapalo tirado	positivo
pedimos hamburguesas carne rica originales nachos probado mejores	neutral
centrico atencion personal agradable	positivo
punto carne pedido cambiaron problemas	positivo
comida perfecta monologo	positivo
carne hamburguesa seca	neutral
trato exquisito ambiente genial rato fabuloso lleno carcajadas risas	positivo
ambiente gente dispuesta pasar rato	positivo
buenisimo	positivo
cena genial hamburguesas riquisimas trato camareros repetiria dudarlo	positivo
sitio recomendado maximo	positivo
recomiendo menu atrapalo duda pie quedarse hambre completo	positivo
servicio agradable local acompana limpio espacioso bonito	positivo
ambientar tranquilo servicio comida buenisima aconsejo	positivo
probado gusta platos sorprende	positivo
sorprendente tomado ocasion menu japan restaurant week delicioso	positiva
probar menu japan restaurant week espectacular abundante cena buenisimo	neutral
atencion sushi	positivo
conocerlo gracias menu japan restaurantweek atrapalo sorprendente	positivo
combinacion sabores	positivo
niguiris gunkan estupendos	positivo
menu recomendable	positivo
servicio agradable	positivo
tempura calamares rica nigiris impresionantes pez mantequilla trufa	positivo
relacion calidad precio	positivo
recomendable	positivo
cenamos menu degustacion increible	positivo
sushi salmon lima pez mantequilla trufa delicioso	positivo
local  comida  servicio	positivo
experiencia gastronomica servicial	positivo
atencion comida menu repetire	positivo
variedad calidad cantidad comida aceptable sabor exquisito	positivo
camareros atentos serios	neutral
ambiente tranquilo luces tenues	positivo
mujer tomamos menu    euros disfrutamos entorno ideal pareja local decorado tranquilo musica rusa agradable comida tradicional rusa	positivo
noche fantastica	positivo
cena pareja conociera gastronomia rusa	neutral
ambiente romantico carta variada	neutral
comida servicio	positivo
precio elevado asumible	negativo
cena agradable comida servicio extraordinariomuy pareja amigos	positivo
ambiente conseguido volveremos dudarlo	positivo
ambiente frio comida correcta	neutral
platos modificaciones adapten paladar espana	neutral
servicio atento amable rapido	positivo.
decoracion autenticamente rusa plaza castizo madrid	neutral
recomendable local precioso atencion comida excepcionales	positivo
comida tipicamente rusa ambiente agradable	positivo
sitio genial comida servicio genia tb volveremos	positivo
tranquilidad personal servicio amable correcto ocasiones	positivo
prima calidad producto amabilidad servicio	positivo
sitio tranquilo cenar fresquito verano	positivo
excelente atencion cantidad gente comiendo	positivo
comida vistas estupendas terraza fenomenal personal atento	positivo
restaurante entorno apacible recreo inigualable	positivo
comida rica vistas preciosas camareros amables	positivo
comimos bienla comida hecha calidad	positivo
